search_topic,title,authors,year,publication_date,type,journal,doi,url,cited_by_count
theology,SANCTIFIED RHYTHMS OF REST: RECLAIMING SABBATH AND SPIRITUAL RETREAT FOR PASTORAL RENEWAL AND BURNOUT MITIGATION IN THE GEORGIA ASSEMBLIES OF GOD,Philip Sosebee,2026,2026-10-01,article,SEU FIRE Scholars (Southeastern University),,https://openalex.org/W7203731162,0
rule of truth,Quasi-Constitutionality and Indigenous-State Treaties in Australia,"Hobbs, Harry ; https://orcid.org/0000-0001-9903-6908, Taylor, Alice",2026,2026-10-01,article,"UNSWorks (University of New South Wales, Sydney, Australia)",,https://openalex.org/W7112024055,0
rule of truth,Static validation for declarative service orchestration: enabling reliable CI/CD and MLOps pipelines,Stelios Sotiriadis,2026,2026-10-01,article,"BIROn (Birkbeck, University of London)",,https://openalex.org/W7161462214,0
rule of truth,Differential DNA methylation in blood as potential mediator of the association between ambient PM2.5 and cerebrospinal fluid biomarkers of Alzheimer's disease among a cognitively normal population-based cohort.,"Tszshan Ma, Jiaqi Liu, Donghai Liang, Stefanie Ebelt, Kyle Steenland, Allan I. Levey, James J. Lah, Aliza P. Wingo, Thomas S. Wingo, Anke Hüls",2026,2026-10-01,article,PubMed,https://doi.org/10.1038/s41380-026-03662-9,https://openalex.org/W7164204184,1
rule of truth,A genealogical critique of medicalization: from Conrad back to Foucault,"Tiancheng Xia, Yuanjing Wu",2026,2026-10-01,article,Scientific Electronic Library Online (Scientific Electronic Library Online),,https://openalex.org/W7203813502,0
rule of truth,Big data research: the importance of the data-generating process and domain expertise.,Jordan W. Smoller,2026,2026-10-01,article,PubMed,https://doi.org/10.1002/wps.70086,https://openalex.org/W7213274592,0
rule of truth,Judging Where States Will Not: Towards a Theory of Relational Legitimacy for People’s Tribunals,A. Zammit Borda,2026,2026-09-30,article,City Research Online (City University London),,https://openalex.org/W7155462501,0
theology,Авеста: Тиштрия – мифдан (астрал) маъбудлик сари,Rano Tashpulatovna Urazova,2026,2026-09-25,conference-paper,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22820187,https://openalex.org/W7213526405,0
theology,Fraternal Transformative Leadership: A Conceptual Framework for Leadership in Catholic Religious Congregations,Martin Binyenya,2026,2026-09-24,article,INTERNATIONAL JOURNAL OF MULTIDISCIPLINARY RESEARCH AND ANALYSIS,https://doi.org/10.47191/ijmra/v9-i9-28,https://openalex.org/W7213995963,0
rule of truth,Brain-Adapter: A Dual-Stream Vision-Language MIL Framework for Comprehensive 3D CT Diagnosis of Acute Intracranial Pathologies,"Zhenyu Yi, Zhiyun Song, Yusong Sun, Zelin Liu, Manman Fei, Zhenhao Li, Jiaxuan Zhao, Xu Han, Lichi Zhang",2026,2026-09-24,conference-paper,Lecture notes in computer science,https://doi.org/10.1007/978-3-032-38098-2_14,https://openalex.org/W7165652686,0
rule of truth,Training LLMs with Reinforcement Learning over Digital Twin Representations for Reasoning-Intensive Surgical VideoQA,"Yiqing Shen, Han Zhang, Mathias Unberath",2026,2026-09-24,conference-paper,Lecture notes in computer science,https://doi.org/10.1007/978-3-032-38233-7_60,https://openalex.org/W7165058023,0
rule of truth,RatSeizure: A Benchmark and Saliency-Context Transformer for Rat Seizure Localization,"Ting Yu Tsai, An Yu, Lucy Lee, Felix X.-F. Ye, Damian Seung-Ho Shin, Tzu‐Jen Kao, Xin Jian Li, Ming‐Ching Chang",2026,2026-09-24,conference-paper,Lecture notes in computer science,https://doi.org/10.1007/978-3-032-38470-6_25,https://openalex.org/W7147281356,0
rule of truth,TopoOR: A Unified Topological Scene Representation for the Operating Room,"Tony Danjun Wang, Ka Young Kim, Tolga Birdal, Nassir Navab, Lennart Bastian",2026,2026-09-24,conference-paper,Lecture notes in computer science,https://doi.org/10.1007/978-3-032-38233-7_58,https://openalex.org/W7134950172,0
rule of truth,Patch-to-Global: Random Patch Diffusion for Globally Consistent Megapixel Artifact Inpainting in Whole Slide Images,"Hyeseong Lee, Eunsu Kim, D M Bappy, Ho Heon Kim, Youngsuk Lee, Se Young Chun, Jang-Hwan Choi, Sung Hak Lee, Sangjeong Ahn",2026,2026-09-24,conference-paper,Lecture notes in computer science,https://doi.org/10.1007/978-3-032-38224-5_34,https://openalex.org/W7214024585,0
rule of truth,Generative synthesis of high-fidelity pathological brain MRI via label-conditioned latent diffusion,"Miguel Herencia García del Castillo, Felicia Alfano, Manuel Jesús Cerezo Mazón, Ricardo Moya García, David Corral Fontecha, Pablo Menéndez Fernández‐Miranda",2026,2026-09-24,article,Scientific Reports,https://doi.org/10.1038/s41598-026-69341-5,https://openalex.org/W7214079205,0
theology,Malay Manuscripts as Cultural Memory: Islamic Knowledge Transmission in the Malay-Indonesian World,"Muhammad Azmi, Reza Ronaldo, Arif Muzayin Sofwan, Khalid Rahman",2026,2026-09-24,article,Mumtaz.,https://doi.org/10.69552/mumtaz.v6i2.3967,https://openalex.org/W7214102889,0
rule of truth,Pattern Arithmetic: Typed Algebra of Bounded Units on a Phase-Colored Sphere,Sandeep Lakshminarayan Chiluveru,2026,2026-09-24,preprint,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22924031,https://openalex.org/W7214085587,0
rule of truth,A task-adapted structurally reparameterized diverse-branch YOLO network for mulberry leaf disease detection,"Nazeer Haider, Khasru Alam, Jiaul H. Paik",2026,2026-09-24,article,Scientific Reports,https://doi.org/10.1038/s41598-026-69533-z,https://openalex.org/W7214098782,0
rule of truth,Privacy-Aware Customer Analytics in Physical Stores Using an Edge-Cloud Hybrid Artificial Intelligence System,"Sezai Furkan Pür, Şeref Sağıroğlu",2026,2026-09-24,article,Gazi University Journal of Science Part A Engineering and Innovation,https://doi.org/10.54287/gujsa.1953188,https://openalex.org/W7214104840,0
rule of truth,"Adversarial, Recursive, Generalized Uncertainty System: A falsifiable metascientific architecture for adversarial claim evaluation, causal auditing, evidence provenance, uncertainty classification, and recursive error correction",Andris Lukss,2026,2026-09-24,article,Journal of Artificial Intelligence General science (JAIGS) ISSN 3006-4023,https://doi.org/10.60087/jaigs.v10i01.502,https://openalex.org/W7214114038,0
rule of truth,Field-validated climate-resilient HVAC control for mixed-use buildings in a hot-arid region,"Mohammad Alsulami, Hela Ahmad Gnaba, Zeinab Abdallah Mohammed Elhassan, Yohannes Mehari Andiye",2026,2026-09-24,article,Scientific Reports,https://doi.org/10.1038/s41598-026-72857-5,https://openalex.org/W7214122598,0
rule of truth,HGAF: Handwritten German Administrative Forms,"Tobias Kalmbach, Luis Bast, Andreas Wagner",2026,2026-09-24,dataset,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22934700,https://openalex.org/W7214144676,0
church fathers,Napoleon: From the Shadow of the Caesars to the Creation of Modern Caesarism?,Michael George Broers,2026,2026-09-24,article,Modern Intellectual History,https://doi.org/10.1017/s1479244326100778,https://openalex.org/W7214111305,0
rule of truth,KOAL: Knowledge-Driven Prostate Cancer Grading with Ordinal-Aware Learning,"Zheng Guo, Jiaqi Cui, Haocheng Xiong, Jize Han, Bo Liu, Qianwen Zhang, Rui Chen, Yan Wang",2026,2026-09-24,conference-paper,Lecture notes in computer science,https://doi.org/10.1007/978-3-032-38098-2_33,https://openalex.org/W7167701239,0
theology,"Sacred Heritage of Konerirajapuram: Patronage, Architecture, and Ritual at the Uma Maheswarar Temple, Thirunallam","S. Chandramohan, V. Vivekanandam",2026,2026-09-24,article,"Journal of arts, humanities and social science.",https://doi.org/10.69739/jahss.v3i3.2361,https://openalex.org/W7214099382,0
theology,"Comrades in Arms: The Mujahidin, Fatah, and Iran’s Transnational Guerrilla Movement",Ashkan Hashemipour,2026,2026-09-24,article,International Journal Middle East Studies,https://doi.org/10.1017/s002074382610169x,https://openalex.org/W7214098430,0
theology,Aswaja Lecturers’ Strategies for Developing Students with Wasathiyyah Islamic Character,"Agus Zainudin, Mukni’ah, Pujiono",2026,2026-09-24,article,Mumtaz.,https://doi.org/10.69552/mumtaz.v6i2.3751,https://openalex.org/W7214123256,0
incarnation,Preexistence without Incarnation: Rethinking John's Christology in Jewish Monotheistic Context,"Frederick Leonard, Lyu Xinchen",2026,2026-09-23,article,,https://doi.org/10.13140/rg.2.2.26488.40969,https://openalex.org/W7214078551,0
rule of truth,Evidence aware multimodal auditing of museum image metadata consistency,"peng yue, jia hou, xiao zhang",2026,2026-09-23,preprint,Research Square,https://doi.org/10.21203/rs.3.rs-10971995/v1,https://openalex.org/W7214013863,0
eschatology,What did critical thinking ever do for us? Teaching critical thinking in the age of AI,Nin Kirkham,2026,2026-09-23,article,Educational Philosophy and Theory,https://doi.org/10.1080/00131857.2026.2733624,https://openalex.org/W7214080095,0
eschatology,Dante’s Nuclear Underworld: The Semiotics of Danger in Hell,Frey Kalus,2026,2026-09-23,article,Italian Studies,https://doi.org/10.1080/00751634.2026.2717881,https://openalex.org/W7214095490,0
rule of truth,(De)composing Craft: An Elementary Grammar for Sharing Expertise in Craft Workflows,"Ritik Batra, Lydia Kim, Ilan Mandel, Amritansh Kwatra, Jane L. E, Steven J. Jackson, Thijs Jan Roumen",2026,2026-09-23,article,Proceedings of the ACM on Human-Computer Interaction,https://doi.org/10.1145/3816917,https://openalex.org/W4417356765,2
rule of truth,recoverr: A Python package for estimating within-person recovery dynamics from behavioral telemetry,Hongwon Jeong,2026,2026-09-23,software-paper,SoftwareX,https://doi.org/10.1016/j.softx.2026.103056,https://openalex.org/W7167726006,0
rule of truth,Preregistration v1: Pigment-regulation pathways under heatwave-drought and GPP recovery from daily PACE OCI hyperspectral observations — frozen protocols P1 (site selection) and P2 (confound gate),Zhe Dong,2026,2026-09-23,other,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22698870,https://openalex.org/W7212147010,0
rule of truth,Data-Driven Control of Complex Systems,Hailong; id_orcid 0000-0001-6528-1091 Chen,2026,2026-09-23,dissertation,,https://doi.org/10.33612/diss.1567676095,https://openalex.org/W7212464916,0
church fathers,Modernity and Tradition in Short Stories of U.R. Ananthamurthy,Lakshmi A.M,2026,2026-09-23,article,International Journal Of Recent Trends In Multidisciplinary Research,https://doi.org/10.59256/ijrtmr.20260605029,https://openalex.org/W7214109744,0
church fathers,Attachment Styles and Children in Foster Care: A Study Involving Art Therapy Evaluation,Abigail Johnson,2026,2026-09-23,article,ODU Digital Commons (Old Dominion University),https://doi.org/10.25777/2bzk-8g20,https://openalex.org/W7214084133,0
church fathers,To be wounded is to be read: disability and the structures of nonviolent conflict from Shakespeare to the Victorians,Lidia Mihaela NECULA,2026,2026-09-23,article,Frontiers in Sociology,https://doi.org/10.3389/fsoc.2026.1964488,https://openalex.org/W7214061451,0
eschatology,"Human Agency, Divine Mercy, and the End: Jerome of Stridon and the Developments of Late Antique Eschatology",Katarina Pålsson,2026,2026-09-23,article,Church History,https://doi.org/10.1017/s0009640726103692,https://openalex.org/W7214096500,0
eschatology,Annotated Corpus of Ancient Testamentary Literature,"Joel Klenk, Charlott Buschatz, Arne Käfer, Timotheus Chang-Whae Kim, Adele-Nike Nehlsen, Anne Maria Rath, Stefanie Steichele",2026,2026-09-23,software,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22914441,https://openalex.org/W7214113704,0
rule of truth,TetraFence: Re-Auditable Mobile Field Evidence with Immutable Location Anchoring,Duy-Quan Nguyen,2026,2026-09-23,preprint,Research Square,https://doi.org/10.21203/rs.3.rs-10894624/v1,https://openalex.org/W7214002261,0
rule of truth,The indirect role of working memory in the association between perspective-taking skills and social problem-solving skills in preschool children: an age-sensitive moderated mediation in a Turkish sample,Muhammed Fatih Küçükkara,2026,2026-09-23,article,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2026.1880860,https://openalex.org/W7214061331,0
rule of truth,Seeing the Politics of Decentralized Social Media Protocols,"Tolulope Oshinowo, Sohyeon Hwang, Amy Xian Zhang, Andrés Monroy‐Hernández",2026,2026-09-23,article,Proceedings of the ACM on Human-Computer Interaction,https://doi.org/10.1145/3816995,https://openalex.org/W4416608679,1
rule of truth,Extending Acoustic Beamformersto Unknown-Orientation Dipoles,"Armin Goudarzi, Daniel Ernst",2026,2026-09-23,preprint,Research Square,https://doi.org/10.21203/rs.3.rs-11105567/v1,https://openalex.org/W7214061381,0
rule of truth,Benchmarking Stylometric Metrics for AI Authorship Verification: A Glass-Box Forensic Framework Across Language Models,"Abhay K. Srivastava, Lovish Bhatia, Vinay Shankar Pandey, Ajay K. Sharma",2026,2026-09-23,preprint,Research Square,https://doi.org/10.21203/rs.3.rs-11118972/v1,https://openalex.org/W7214061997,0
rule of truth,A context-aware and human-centered framework for road safety assessment using semantic scene understanding,"Imad Tbaileh, Ahmed Radwan, Oroob Yaseen, Mohammed Elhenawy, Huthaifa I. Ashqar, Rashed Isam Ashqar",2026,2026-09-23,article,Frontiers in Future Transportation,https://doi.org/10.3389/ffutr.2026.1920858,https://openalex.org/W7214062153,0
rule of truth,"Ambidextrous Leadership, Individual Ambidexterity, and Workforce Agility at Immigration Checkpoints","Farid Asyam Nur Alam, Suparto Wijoyo, Fendy Suhariadi",2026,2026-09-23,article,Inkubis Jurnal Ekonomi dan Bisnis,https://doi.org/10.59261/inkubis.v8i3.415,https://openalex.org/W7214062595,0
rule of truth,An Inter-variable Relationship-Aware Mixture-of-Experts Model for Stock Closing-Price Prediction,"Zhenjiang Chen, Bin Liu, Pei-Gen Ye, Yang Lv, Jun Zheng",2026,2026-09-23,preprint,Research Square,https://doi.org/10.21203/rs.3.rs-10860609/v1,https://openalex.org/W7214063067,0
rule of truth,Effect of R&D innovation cooperation on corporate innovation: the mediating role of digital transformation capability,Seung-hwan Jang,2026,2026-09-23,article,Human Resources Management and Services,https://doi.org/10.18282/hrms6198,https://openalex.org/W7214063811,0
rule of truth,YOLO-RCD: A Lightweight Pavement Damage Detector Validated by Controlled Multi-Seed Reproduction and Measured Edge Deployment,"Aihemaitijiang Tuerhong, Shuo Wang, Aximu Yuemaier, Xiaopeng Gu, Jie Liu, Naman Maimaiti",2026,2026-09-23,preprint,Research Square,https://doi.org/10.21203/rs.3.rs-10846283/v1,https://openalex.org/W7214064185,0
rule of truth,"Satisfied employees, stronger teams: linking need satisfaction to team-boosting behaviours via work engagement","Vallenice Van Blerk, Leon T. De Beer",2026,2026-09-23,article,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2026.1917631,https://openalex.org/W7214065131,0
rule of truth,FROM THE PRINCIPLED PRINCIPAL TO THE SOCIAL TRAP: REINTERPRETING SYSTEMIC CORRUPTION IN LIGHT OF COLLECTIVE ACTION THEORY,Chenin Mohammed Elmehdi,2026,2026-09-23,article,Veredas do Direito Direito Ambiental e Desenvolvimento Sustentável,https://doi.org/10.18623/rvd.v23.8441,https://openalex.org/W7214065693,0
rule of truth,Can Artificial Intelligence be Socratic?,"Aistė Diržytė, Aleksandras Patapas",2026,2026-09-23,article,Filosofija Sociologija,https://doi.org/10.6001/fil-soc.2026.37.3.12,https://openalex.org/W7214066852,0
rule of truth,A Hybrid 3D CNN-GAT Framework with Entropy-Guided Adaptive Fusion for 3D Mineral Prospectivity Modeling,"Cong Chen, Mingming Zhang, Xiaoyuan Wang, Lexuan Wang, Xiaohui Li",2026,2026-09-23,article,Natural Resources Research,https://doi.org/10.1007/s11053-026-10780-2,https://openalex.org/W7214067035,0
rule of truth,ROOTS: recognizing oracle bone inscriptions via an organized tree structure,"Ziqi Li, Zijian Chen, Ziyi Yang, Zhiji Liu, Guangtao Zhai, Tingzhu Chen",2026,2026-09-23,article,npj Heritage Science,https://doi.org/10.1038/s40494-026-02989-4,https://openalex.org/W7214067223,0
rule of truth,AICO: Feature significance tests for supervised learning,"Kay Giesecke, Enguerrand Horel, Chartsiri Jirachotkulthorn",2026,2026-09-23,article,Proceedings of the National Academy of Sciences,https://doi.org/10.1073/pnas.2530045123,https://openalex.org/W4416615353,1
rule of truth,Value Sensitive Design for Fair Online Recruitment: A Conceptual Framework Informed by Job seekers’ Fairness Concerns,"Changyang He, Yue Deng, Alessandro Fabris, Bo Li, Asia J. Biega",2026,2026-09-23,article,Proceedings of the ACM on Human-Computer Interaction,https://doi.org/10.1145/3817032,https://openalex.org/W4406840684,1
incarnation,Stultifera Navis,Michel Foucault,2026,2026-09-23,book-chapter,,https://doi.org/10.4324/9781042019663-2,https://openalex.org/W7214076361,0
Christian anthropology,"Democritus on the Rise of Civilization and Music: A Reappraisal, With a Second Thought on 68 B 144 DK",Christian Vassallo,2026,2026-09-23,article,Symbolae Osloenses,https://doi.org/10.1080/00397679.2026.2718686,https://openalex.org/W7214090466,0
incarnation,The new personal world: digital media communication and formations of self and persona,"P. David Marshall, Celia Lam",2026,2026-09-23,article,Popular Communication,https://doi.org/10.1080/15405702.2026.2734895,https://openalex.org/W7214070242,0
incarnation,The quantum spin Brauer category,"Peter J. McNamara, Alistair Savage",2026,2026-09-23,article,Annals of representation theory,https://doi.org/10.5802/art.41,https://openalex.org/W4415066440,0
incarnation,Introduction,Michel Foucault,2026,2026-09-23,book-chapter,,https://doi.org/10.4324/9781042019663-14,https://openalex.org/W7214096663,0
incarnation,"Inventing an interstice: les Français d’Asie, the canonisation and the location of Franco-Asian culture",Vladimir Kapor,2026,2026-09-23,article,Modern & Contemporary France,https://doi.org/10.1080/09639489.2026.2710068,https://openalex.org/W7214101728,0
incarnation,Between margin and heartland: the aesthetics and ideology of far-right regionalism in Richard Millet and Michel Houellebecq,Gustaf Marcus,2026,2026-09-23,article,Modern & Contemporary France,https://doi.org/10.1080/09639489.2026.2720859,https://openalex.org/W7214118801,0
incarnation,"Power, Dependency, and Human Relationships in Sophie Mackintosh's “The Water Cure”","R. Suganthi Hepzibha, C. Jothi C. Jothi, S. Priya S. Priya",2026,2026-09-23,article,International Journal of Social Science and Human Research,https://doi.org/10.47191/ijsshr/v9-i9-58,https://openalex.org/W7214121724,0
patristics,Comparing subsampling strategies for efficient pairwise analysis of large pathogen genomic and spatial datasets: An application to Mycobacterium tuberculosis transmission,"Yu Lan, Chieh-Yin Wu, Hsien-Ho Lin, Ted Cohen, Joshua Warren",2026,2026-09-23,article,PLoS Computational Biology,https://doi.org/10.1371/journal.pcbi.1014353,https://openalex.org/W7214065431,0
theological anthropology,Ясауи іліміндегі адам концепциясы: этикалық-философиялық талдау,"Нұрперзент Қыпшақбаев, Sayan SHYLMAMBETOV",2026,2026-09-23,article,QUT JOURNAL OF RELIGION PHILOSOPHY AND CULTURE,https://doi.org/10.65608/qut.2026.3.02,https://openalex.org/W7214102987,0
theological anthropology,Folk Religion and Environmental Sustainability: The Sacred Knoll of Borgidanga and the Thirteen Manasa Sisters,"Tapas Pal, Dariga Kokeyeva, Kanokkarn Kaewnuch, Prabhakar Thapa",2026,2026-09-23,article,QUT JOURNAL OF RELIGION PHILOSOPHY AND CULTURE,https://doi.org/10.65608/qut.2026.3.06,https://openalex.org/W7214123595,0
theological anthropology,"Artificial Intelligence from the Perspectives of Philosophy, Sociology and Communication",Edvardas Rimkus,2026,2026-09-23,article,Filosofija Sociologija,https://doi.org/10.6001/fil-soc.2026.37.3.14,https://openalex.org/W7214124320,0
Christian anthropology,Interdependent Navigation and Pragmatic Disengagement: How Older Korean Immigrants Selectively Engage with Digital Technologies,"Jeongone Seo, Tawfiq Ammari",2026,2026-09-23,article,Proceedings of the ACM on Human-Computer Interaction,https://doi.org/10.1145/3816953,https://openalex.org/W4414581172,1
Christian anthropology,Western Hegemony: The Influence on Traditional Ritual Mechanism of Addressing the Conflict of Marital Infidelity in Nigeri,Anayo Benjamin Ossai,2026,2026-09-23,article,Journal of Black Religious Thought,https://doi.org/10.1163/27727963-20263003,https://openalex.org/W7214071623,0
Christian anthropology,Therapist self-report reliability and accuracy in individual vs. conjoint systemic family therapy sessions: implications for clinical monitoring,"Magdalena Marino, Nicole Porter, Molly Bobek, Sean Dunnsue, Aaron Hogue",2026,2026-09-23,article,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2026.1811889,https://openalex.org/W7214094306,0
eschatology,"Death, Consciousness, and Ontological Restoration: A QMH Interpretation of Rabbi Elazar's Eschatological Vision Through Torah Epistemology Swallowing Death Forever: A Torah-Epistemological and QMH Analysis of Eschatological Consciousness in Rabbi Elazar's Teaching","Stephen I. Ternyik, Al Fermelia",2026,2026-09-23,article,,https://doi.org/10.13140/rg.2.2.20092.09608,https://openalex.org/W7214068150,0
Christian anthropology,"Acceptability, feasibility, appropriateness, uptake and cost perceptions of family mid-upper arm circumference supported by two-way SMS in western Kenya","Esther M. Choo, Jonathan Lara-Árevalo, Catherine Achieng, Merceline Odhiambo, Maurine Anyango Okello, Mary Masheti, Kirkby D. Tickell, Mame Mareme Diakhate, Benson  O. Singa, Christine J. McGrath, Arianna Rubin Means",2026,2026-09-23,article,PLoS ONE,https://doi.org/10.1371/journal.pone.0358775,https://openalex.org/W7214095747,0
Christian anthropology,INTEGRATIVE MODEL OF VOLITIONAL REGULATION OF PERSONALITY: FROM CHRISTIAN ANTHROPOLOGY TO EXISTENTIAL PSYCHOLOGY AND PSYCHOTHERAPY,"Тимощук И.Г., Danilova T.N.",2026,2026-09-23,article,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.22919777,https://openalex.org/W7214096551,0
Christian anthropology,Teaching and the decolonisation of research: structures of theory and inquiry,"Syed Farid Alatas, Ibrar Bhatt, Shuchen Xiang",2026,2026-09-23,article,Teaching in Higher Education,https://doi.org/10.1080/13562517.2026.2735435,https://openalex.org/W7214112884,0
Christian anthropology,Let the dead speak: Spiritualism in Australia,Debra McDougall,2026,2026-09-23,article,The Australian Journal of Anthropology,https://doi.org/10.1111/taja.70109,https://openalex.org/W7214127876,0
recapitulation,Public-Deliberative Participation Model: Socio-Cultural Mechanisms Shaping Political Participation in the 2024 Gorontalo City Mayoral Election,"Ramli Ondang Djau, Arifin Tahir, Muhammad Amir Arham, Ismet Sulila",2026,2026-09-23,article,International Journal Papier Public Review,https://doi.org/10.47667/ijppr.v7i2.489,https://openalex.org/W7214126662,0
recapitulation,"Pasteurized Akkermansia muciniphila as a candidate multi-effector pharmacological system in the gut-liver axis: evidence, unresolved causality, and translational priorities","Yifan Liu, Zihao Xu, Dong-Seon Kim, Hai Xu, Huikun Wu",2026,2026-09-23,article,Frontiers in Pharmacology,https://doi.org/10.3389/fphar.2026.1956062,https://openalex.org/W7214117667,0
recapitulation,Emerging Evidence on Molecular Dysregulation Driving Cardiomyopathies and Heart Failure,"Alberto Guarnaccia, Davide Miglietta, Maria Perotto, Matteo Dal Ferro, Serena Zacchigna, Marco Merlo, Gianfranco Sinagra",2026,2026-09-23,book-chapter,,https://doi.org/10.1007/978-3-032-34334-5_14,https://openalex.org/W7214111176,0
recapitulation,Microgels as next-generation matrices for organoid culture: material design and fabrication strategies,"Yifan Jian, Shaoyang Kang, Sheng Ding, Shuwei Wang, Long Yang, Zujian Feng, Weiwei Wang",2026,2026-09-23,article,Model Organisms Research,https://doi.org/10.1016/j.mores.2026.100034,https://openalex.org/W7214107795,0
